OID,pointid,Lat,Long,CH4-Flaming-30,CH4-Smoldering-30,CO2-Flaming-30,CO2-Smoldering-30,CO-Flaming-30,CO-Smoldering-30,FireDay-30,Fire-Intensity-30,Fire-spread-probability-30,Flaming-Consumption-30,HEAT-30,Ignition Type-30,N2O-Flaming-30,N2O-Smoldering-30,NH3-Flaming-30,NH3-Smoldering-30,NMOC-Flaming-30,NMOC-Smoldering-30,NOX-Flaming-30,NOX-Smoldering-30,PM2.5-Flaming-30,PM10-Smoldering-30,PM10-Flaming-30,PM2.5-Smoldering-30,Smolder Consumption-30,SO2-Flaming-30,SO2-Smoldering-30,Special Dead wood
-1,33859,39.259111441712285,-120.04207559722654,0.0075924,0.0432131,1.65953,4.3647099,0.140023,0.709886,0,0,0,103.7210007,2374.340088,1,0.000166,0,0.0015558,0.001488,0.0617658,0.263185,0.0020744,0,0.0240632,0.123688,0.0284195,0.102298,309.993988,0.0010994,0,0
-1,33860,39.259141698250666,-120.04091814988327,0.0080723,0.0438096,1.7644399,4.4249601,0.148874,0.719685,0,0,0,110.2770004,2497.439941,1,0.0001764,0,0.0016542,0.0015085,0.0656701,0.266818,0.0022055,0,0.0255843,0.125395,0.030216,0.10371,314.2730103,0.0011689,0,0
-1,33861,39.25917194330498,-120.0397607007974,0.0080723,0.0438096,1.7644399,4.4249601,0.148874,0.719685,0,0,0,110.2770004,2497.439941,1,0.0001764,0,0.0016542,0.0015085,0.0656701,0.266818,0.0022055,0,0.0255843,0.125395,0.030216,0.10371,314.2730103,0.0011689,0,0
-1,33862,39.259202176875135,-120.03860324996957,0.0057427,0.0407657,1.25524,4.1175098,0.105911,0.66968,0,0,0,78.452301,1898.060059,1,0.0001255,0,0.0011768,0.0014037,0.0467183,0.248279,0.0015691,0,0.0182009,0.116682,0.0214959,0.0965041,292.4370117,0.0008316,0,0
-1,33863,39.25923239896113,-120.03744579740047,0.0094747,0.028256,2.0709801,2.8539801,0.174739,0.464177,0,0,0,129.4360046,2638.449951,1,0.0002071,0,0.0019415,0.0009729,0.0770791,0.17209,0.0025887,0,0.0300291,0.0808762,0.0354654,0.0668901,202.6970062,0.001372,0,0
-1,33864,39.259262609562896,-120.03628834309075,0.0131888,0.0382026,2.8828001,3.8586299,0.243236,0.627576,0,0,0,180.1750031,3658.439941,1,0.0002883,0,0.0027026,0.0013154,0.107294,0.232669,0.0036035,0,0.0418006,0.109346,0.049368,0.0904367,274.0509949,0.0019099,0,0
-1,33865,39.25929280868037,-120.03513088704105,0.0159044,0.0674208,3.4763701,6.8098001,0.293319,1.10756,0,0,0,217.272995,4681.680176,1,0.0003476,0,0.0032591,0.0023215,0.129386,0.410619,0.0043455,0,0.0504074,0.192976,0.0595329,0.159605,483.6499939,0.0023031,0,0
-1,33866,39.2593229963135,-120.03397342925203,0.0245402,0.0517693,5.3639698,5.22892,0.452585,0.850442,0,0,0,335.2479858,6563.009766,1,0.0005364,0,0.0050287,0.0017826,0.19964,0.315295,0.006705,0,0.0777776,0.148177,0.091858,0.122553,371.3720093,0.0035536,0,0
-1,33867,39.25935317246224,-120.03281596972438,0.0152487,0.0403215,3.33304,4.0726399,0.281225,0.662383,0,0,0,208.3150024,4181.180176,1,0.0003333,0,0.0031247,0.0013884,0.124052,0.245573,0.0041663,0,0.0483291,0.115411,0.0570783,0.0954526,289.25,0.0022081,0,0
-1,33868,39.259383337126565,-120.03165850845872,0.0143554,0.0403978,3.13779,4.0803499,0.264751,0.663636,0,0,0,196.1119995,3967.070068,1,0.0003138,0,0.0029417,0.001391,0.116784,0.246038,0.0039222,0,0.0454979,0.115629,0.0537346,0.0956332,289.7980042,0.0020788,0,0
-1,33869,39.25941349030638,-120.03050104545574,0.0132591,0.0355588,2.89817,3.5915899,0.244533,0.584143,0,0,0,181.1360016,3641.949951,1,0.0002898,0,0.002717,0.0012244,0.107866,0.216567,0.0036227,0,0.0420235,0.101779,0.0496312,0.0841778,255.0839996,0.00192,0,0
-1,33870,39.259443632001656,-120.02934358071607,0.011174,0.0340466,2.4424,3.4388599,0.206078,0.559303,0,0,0,152.6499939,3120.790039,1,0.0002442,0,0.0022897,0.0011723,0.0909031,0.207357,0.003053,0,0.0354148,0.0974506,0.0418261,0.0805982,244.2369995,0.0016181,0,0
-1,33871,39.25947376221233,-120.02818611424037,0.0076505,0.0330403,1.67225,3.3372099,0.141096,0.542771,0,0,0,104.5149994,2259.729981,1,0.0001672,0,0.0015677,0.0011377,0.062239,0.201228,0.0020903,0,0.0242476,0.0945701,0.0286372,0.0782159,237.0180054,0.0011079,0,0
-1,33872,39.25950388093837,-120.02702864602932,0.0221424,0.0396464,4.83987,4.0044599,0.408364,0.651293,0,0,0,302.4920044,5832.439941,1,0.000484,0,0.0045374,0.0013652,0.180134,0.241462,0.0060498,0,0.0701781,0.113479,0.0828827,0.0938544,284.4070129,0.0032064,0,0
-1,33873,39.259533988179705,-120.0258711760836,0.0131397,0.0373063,2.8720601,3.7681,0.24233,0.612852,0,0,0,179.5039978,3635.280029,1,0.0002872,0,0.0026926,0.0012846,0.106895,0.22721,0.0035901,0,0.0416449,0.106781,0.0491841,0.0883149,267.6210022,0.0019027,0,0
-1,33874,39.2595640839363,-120.02471370440381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,33875,39.25959416820808,-120.02355623099064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,33876,39.25962424099502,-120.02239875584476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,33877,39.25965430229705,-120.0212412789668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,33878,39.259684352114135,-120.02008380035744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,33879,39.259714390446206,-120.01892632001733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,33880,39.25974441729323,-120.01776883794712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,33881,39.259774432655135,-120.01661135414751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,33882,39.25980443653188,-120.0154538686191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,33902,39.26040210210459,-119.99230379602382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,33903,39.26043186478116,-119.99114627434342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,33904,39.26046161597149,-119.98998875094875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,33905,39.26049135567544,-119.98883122584046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,33906,39.26052108389303,-119.98767369901921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,33907,39.26055080062419,-119.98651617048566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,33908,39.26058050586886,-119.98535864024045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,33909,39.260610199626974,-119.98420110828428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,33910,39.26063988189853,-119.98304357461778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,33911,39.260669552683424,-119.98188603924163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,33912,39.26069921198165,-119.98072850215645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,33913,39.26072885979312,-119.97957096336293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,33914,39.260758496117795,-119.97841342286175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,33915,39.260788120955645,-119.97725588065353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,33916,39.26081773430659,-119.97609833673891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,34236,39.258181351884375,-120.04319410241905,0.0029407,0.0350331,0.642767,3.5385001,0.0542334,0.575508,0,0,0,40.1729012,1150.939941,1,0.0000643,0,0.0006026,0.0012063,0.023923,0.213365,0.0008035,0,0.0093201,0.100274,0.0110074,0.0829335,251.3139954,0.0004258,0,0
-1,34237,39.25821161894292,-120.04203667157371,0.0046015,0.0380593,1.00579,3.8441501,0.0848634,0.625221,0,0,0,62.8618011,1589.069946,1,0.0001006,0,0.0009429,0.0013105,0.0374342,0.231796,0.0012572,0,0.0145839,0.108936,0.0172241,0.0900974,273.0220032,0.0006663,0,0
-1,34238,39.258241874517815,-120.04087923898518,0.0189087,0.0675493,4.13305,6.8227701,0.348726,1.10967,286,1,88,258.3150024,5406.640137,1,0.0004133,0,0.0038747,0.0023259,0.153827,0.411401,0.0051663,0,0.0599292,0.193344,0.0707784,0.159909,484.571991,0.0027381,0,0
-1,34239,39.25827211860899,-120.03972180465414,0.0331548,0.149561,7.2469401,15.1063004,0.611461,2.4569299,286,1,88,452.9339905,9873.519531,1,0.0007247,0,0.006794,0.0051499,0.269722,0.910887,0.0090587,0,0.105081,0.428085,0.124104,0.354055,1072.890015,0.0048011,0,0
-1,34240,39.2583023512164,-120.0385643685812,0.0331172,0.167777,7.23873,16.9461994,0.610768,2.75616,286,1,88,452.42099,10094.7998,1,0.0007239,0,0.0067863,0.0057771,0.269416,1.02183,0.0090484,0,0.104962,0.480222,0.123963,0.397176,1203.560059,0.0047957,0,0
-1,34241,39.258332572339995,-120.0374069307671,0.0230197,0.0456667,5.03162,4.6125302,0.424543,0.750192,286,1,88,314.4760132,6119.77002,1,0.0005032,0,0.0047171,0.0015725,0.187271,0.278128,0.0062895,0,0.0729585,0.13071,0.0861665,0.108106,327.5950012,0.0033335,0,0
-1,34242,39.25836278197972,-120.03624949121246,0.0219364,0.0430636,4.7948298,4.3496099,0.404564,0.70743,286,1,88,299.677002,5826.029785,1,0.0004795,0,0.0044951,0.0014828,0.178458,0.262274,0.0059935,0,0.069525,0.12326,0.0821115,0.101944,308.92099,0.0031766,0,0
-1,34243,39.25839298013552,-120.0350920499179,0.0222169,0.0569331,4.8561502,5.7504902,0.409738,0.935271,286,1,88,303.5100098,6068.930176,1,0.0004856,0,0.0045526,0.0019604,0.18074,0.346745,0.0060702,0,0.0704142,0.162958,0.0831616,0.134777,408.4150085,0.0032172,0,0
-1,34244,39.258423166807354,-120.03393460688416,0.0113096,0.0410995,2.4720399,4.1512299,0.208578,0.675165,286,1,88,154.5019989,3242.610107,1,0.0002472,0,0.0023175,0.0014152,0.0920062,0.250312,0.0030901,0,0.0358445,0.117638,0.0423337,0.0972944,294.8320007,0.0016377,0,0
-1,34245,39.25845334199515,-120.03277716211183,0.0184164,0.0578068,4.0254302,5.8387399,0.339646,0.949624,286,1,88,251.5899963,5164.930176,1,0.0004025,0,0.0037738,0.0019905,0.149822,0.352066,0.0050318,0,0.0583688,0.165458,0.0689356,0.136845,414.6830139,0.0026669,0,0
-1,34246,39.2584835056989,-120.03161971560161,0.0205163,0.0506244,4.4844398,5.1132798,0.378375,0.831634,286,1,88,280.2780151,5579.729981,1,0.0004484,0,0.0042042,0.0017432,0.166905,0.308322,0.0056056,0,0.0650244,0.144901,0.0767961,0.119843,363.1589966,0.0029709,0,0
-1,34247,39.2585136579185,-120.0304622673541,0.0267979,0.0509553,5.85747,5.1467099,0.494224,0.837071,286,1,88,366.0920105,7096.319824,1,0.0005857,0,0.0054914,0.0017546,0.218008,0.310338,0.0073218,0,0.0849333,0.145848,0.100309,0.120626,365.5329895,0.0038806,0,0
-1,34248,39.258543798653946,-120.02930481737005,0.0318725,0.0477897,6.96666,4.8269601,0.587812,0.785067,286,1,88,435.4159851,8278.089844,1,0.0006967,0,0.0065312,0.0016456,0.25929,0.291058,0.0087083,0,0.101017,0.136787,0.119304,0.113132,342.8240051,0.0046154,0,0
-1,34249,39.25857392790513,-120.02814736565004,0.0403933,0.151974,8.8291302,15.3500004,0.744958,2.4965601,286,1,88,551.8209839,11646.7998,1,0.0008829,0,0.0082773,0.005233,0.328609,0.925582,0.0110364,0,0.128022,0.434991,0.151199,0.359767,1090.199951,0.0058493,0,0
-1,34250,39.25860404567206,-120.02698991219475,0.0713312,0.351248,15.5915003,35.4776001,1.3155299,5.7701402,286,1,88,974.4699707,21615.09961,1,0.0015592,0,0.0146171,0.0120946,0.580297,2.13924,0.0194894,0,0.226077,1.00537,0.267005,0.831505,2519.709961,0.0103294,0,0
-1,34251,39.258634151954645,-120.02583245700487,0.0605969,0.191241,13.2452002,19.3162003,1.11757,3.1416299,0,0,0,827.8259888,17007.69922,1,0.0013245,0,0.0124174,0.0065851,0.492971,1.16473,0.0165565,0,0.192056,0.547384,0.226824,0.452724,1371.890015,0.008775,0,0
-1,34252,39.25866424675285,-120.02467500008102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,34253,39.25869433006661,-120.02351754142387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,34254,39.2587244018959,-120.02236008103408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,34255,39.258754462240624,-120.02120261891231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,34256,39.258784511100785,-120.02004515505924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,34257,39.258814548476295,-120.01888768947546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,34258,39.25884457436713,-120.01773022216172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,34259,39.258874588773196,-120.01657275311862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,34260,39.258904591694495,-120.01541528234685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,34261,39.25893458313092,-120.01425780984704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,34262,39.25896456308248,-120.01310033561985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,34263,39.25899453154907,-120.01194285966598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,34264,39.25902448853065,-120.01078538198603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,34265,39.2590544340272,-120.0096279025807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,34266,39.25908436803865,-120.00847042145064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,34267,39.25911429056493,-120.0073129385965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,34268,39.25914420160602,-120.00615545401894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,34269,39.25917410116184,-120.00499796771862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,34270,39.25920398923237,-120.00384047969622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,34271,39.25923386581753,-120.00268298995239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,34303,39.26018385196956,-119.9656424131719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,34304,39.2602133495094,-119.96448486699019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,34305,39.26024283556217,-119.96332731910945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,34306,39.26027231012781,-119.96216976953032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,34307,39.26030177320626,-119.96101221825346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,34308,39.26033122479748,-119.95985466527958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0